ID;Species;Interaction;Longitude;Latitude;Year_collect
55;Eulaema_nigrita;host;-47.98333333;-21.13333333;1989
56;Eulaema_nigrita;host;-47.26666667;-21.4;1989
57;Eulaema_nigrita;host;-42.58472222;-19.65111111;2000
58;Eulaema_nigrita;host;-42.58444444;-19.65111111;2000
59;Eulaema_nigrita;host;-42.58305556;-19.65444444;2000
60;Eulaema_nigrita;host;-42.56388889;-19.70861111;2000
61;Eulaema_nigrita;host;-42.52305556;-19.68388889;2000
62;Eulaema_nigrita;host;-42.50472222;-19.69833333;2000
63;Eulaema_nigrita;host;-41.82388889;-19.73166667;2013
64;Eulaema_nigrita;host;-41.82111111;-19.73333333;2013
65;Eulaema_nigrita;host;-41.82361111;-19.71;2013
66;Eulaema_nigrita;host;-42.88194444;-20.75388889;1989
67;Eulaema_nigrita;host;-43.92888889;-21.20666667;2011
68;Eulaema_nigrita;host;-43.90333333;-19.94861111;1997
69;Eulaema_nigrita;host;-43.99194444;-19.88722222;1997
70;Eulaema_nigrita;host;-43.97166667;-19.87833333;1997
71;Eulaema_nigrita;host;-43.91305556;-19.89027778;1997
72;Eulaema_nigrita;host;-43.50472222;-20.04361111;2000
73;Eulaema_nigrita;host;-43.51027778;-20.07527778;2000
74;Eulaema_nigrita;host;-43.49555556;-20.09555556;2000
75;Eulaema_nigrita;host;-38.35;-12.93333333;1996
76;Eulaema_nigrita;host;-47.24;-20.77;1999
77;Eulaema_nigrita;host;-47.98333333;-21.13333333;1989
78;Eulaema_nigrita;host;-47.26666667;-21.4;1989
79;Eulaema_nigrita;host;-42.45;-22.63333333;2005
80;Eulaema_nigrita;host;-42.45;-22.61666667;2005
81;Eulaema_nigrita;host;-42.46666667;-22.6;2005
82;Eulaema_nigrita;host;-42.43333333;-22.61666667;2005
83;Eulaema_nigrita;host;-42.03333333;-22.43333333;2005
84;Eulaema_nigrita;host;-41.06666667;-21.4;2005
85;Eulaema_nigrita;host;-41.2;-21.55;2005
86;Eulaema_nigrita;host;-41.43333333;-21.8;2009
87;Eulaema_nigrita;host;-48.3;-19;2004
88;Eulaema_nigrita;host;-48.38888889;-19.15555556;2004
89;Eulaema_nigrita;host;-35.13333333;-6.733333333;2002
90;Eulaema_nigrita;host;-34.92666667;-6.7725;2004
91;Eulaema_nigrita;host;-34.91888889;-6.86;2004
92;Eulaema_nigrita;host;-40.3625;-10.46472222;2010
93;Eulaema_nigrita;host;-34.98222222;-7.606666667;2003
94;Eulaema_nigrita;host;-38.93;-4.256388889;2010
95;Eulaema_nigrita;host;-38.97611111;-4.293333333;2010
96;Eulaema_nigrita;host;-38.9175;-4.231944444;2010
97;Eulaema_nigrita;host;-38.57861111;-3.742222222;2010
98;Eulaema_nigrita;host;-47.96666667;-22.36666667;2007
99;Eulaema_nigrita;host;-51.2475;-23.44361111;2002
100;Eulaema_nigrita;host;-51.24027778;-23.42027778;2002
101;Eulaema_nigrita;host;-51.21916667;-23.40083333;2002
102;Eulaema_nigrita;host;-51.25;-23.45;1999
103;Eulaema_nigrita;host;-48.65;-25.31666667;2007
104;Eulaema_nigrita;host;-54.91666667;-22.2;2005
106;Eulaema_nigrita;host;-48.26611111;-2.34;2010
107;Eulaema_nigrita;host;-48.08055556;-2.4025;2010
108;Eulaema_nigrita;host;-48.34611111;-2.648611111;2010
113;Eulaema_nigrita;host;-76.355;-6.476944444;2012
114;Eulaema_nigrita;host;-76.34666667;-6.451666667;2012
115;Eulaema_nigrita;host;-76.33416667;-6.46;2012
116;Eulaema_nigrita;host;-76.33166667;-6.455833333;2012
117;Eulaema_nigrita;host;-76.28805556;-6.464444444;2012
118;Eulaema_nigrita;host;-76.28888889;-6.4625;2012
119;Eulaema_nigrita;host;-67.87277778;-9.955833333;2006
120;Eulaema_nigrita;host;-68.70722222;-8.848888889;2004
122;Eulaema_nigrita;host;-42.08333333;-2.75;1995
123;Eulaema_nigrita;host;-46.25;-4.5;1998
124;Eulaema_nigrita;host;-44.41666667;-2.383333333;1999
125;Eulaema_nigrita;host;-43.42222222;-3.240555556;2001
126;Eulaema_nigrita;host;-44.05;-2.433333333;1998
127;Eulaema_nigrita;host;-42.83;-2.723888889;1999
133;Eulaema_nigrita;host;-61.5;-3.5;1996
134;Eulaema_nigrita;host;-45.86666667;-23.63333333;2009
135;Eulaema_nigrita;host;-46.15;-23.75;2009
136;Eulaema_nigrita;host;-45.45;-23.75;2009
137;Eulaema_nigrita;host;-46.6;-23.36666667;2009
138;Eulaema_nigrita;host;-45.13333333;-23.8;2009
140;Eulaema_nigrita;host;-45.4;-23.75;2009
141;Eulaema_nigrita;host;-46.13333333;-23.85;2009
142;Eulaema_nigrita;host;-47.93333333;-25.01666667;2009
143;Eulaema_nigrita;host;-47.11666667;-22.83333333;2009
144;Eulaema_nigrita;host;-41.78888889;-21.86111111;1999
145;Eulaema_nigrita;host;-41.76638889;-21.89722222;1999
146;Eulaema_nigrita;host;-41.77916667;-21.91611111;1999
147;Eulaema_nigrita;host;-41.79361111;-21.93138889;1999
148;Eulaema_nigrita;host;-41.88333333;-21.99861111;1999
149;Eulaema_nigrita;host;-41.89722222;-21.98527778;1999
